name,rating,rank,rating_o,rating_d,rank_o,rank_d,season_week,ranking_id,season,week
Atlanta Falcons,2.19584130203559,12,3.160413929091544,-0.9645726270559536,5,15,1971.007,24,1971,7.000000000061846
Baltimore Colts,8.387997296892523,4,1.9094500292631853,6.478547267629338,11,2,1971.007,24,1971,7.000000000061846
Buffalo Bills,-12.736513143312989,26,-3.640518051718897,-9.09599509159409,21,26,1971.007,24,1971,7.000000000061846
Chicago Bears,6.689489343204496,7,2.3078443304152305,4.381645012789265,8,5,1971.007,24,1971,7.000000000061846
Cincinnati Bengals,-0.5018696282262732,14,-0.4767516117812354,-0.0251180164450378,15,14,1971.007,24,1971,7.000000000061846
Cleveland Browns,-3.336980539209779,18,-1.989812729789896,-1.3471678094198831,19,17,1971.007,24,1971,7.000000000061846
Dallas Cowboys,6.394085154241458,8,4.595772943911358,1.7983122103300997,2,9,1971.007,24,1971,7.000000000061846
Denver Broncos,-3.0102178353165656,17,-4.163233592035722,1.1530157567191566,23,11,1971.007,24,1971,7.000000000061846
Detroit Lions,7.771198203099526,5,5.104539773946805,2.6666584291527204,1,8,1971.007,24,1971,7.000000000061846
Green Bay Packers,0.0914482322753188,13,2.1964277185296046,-2.104979486254286,9,18,1971.007,24,1971,7.000000000061846
Houston Oilers,-11.019868859868438,24,-6.779223752117536,-4.240645107750902,26,21,1971.007,24,1971,7.000000000061846
Kansas City Chiefs,5.047703959791,9,1.549228274312135,3.498475685478865,12,7,1971.007,24,1971,7.000000000061846
Los Angeles Rams,8.736278232495483,3,3.1324037479908204,5.603874484504662,6,3,1971.007,24,1971,7.000000000061846
Miami Dolphins,7.143429014017999,6,2.8980654852341026,4.245363528783896,7,6,1971.007,24,1971,7.000000000061846
Minnesota Vikings,8.946357568411527,2,-0.9567468906740526,9.90310445908558,16,1,1971.007,24,1971,7.000000000061846
New England Patriots,-11.897408329665232,25,-5.614891993124797,-6.282516336540436,25,25,1971.007,24,1971,7.000000000061846
New Orleans Saints,-6.38155895768326,21,-1.7586914286834223,-4.622867528999838,18,23,1971.007,24,1971,7.000000000061846
New York Giants,-5.71966628025054,20,-1.115092900758945,-4.604573379491595,17,22,1971.007,24,1971,7.000000000061846
New York Jets,-7.181183274350676,22,-4.0515613807434345,-3.1296218936072417,22,19,1971.007,24,1971,7.000000000061846
Oakland Raiders,4.617529286115817,10,4.423250795839953,0.1942784902758634,4,13,1971.007,24,1971,7.000000000061846
Philadelphia Eagles,-9.409068095045804,23,-5.236088828163178,-4.172979266882628,24,20,1971.007,24,1971,7.000000000061846
Pittsburgh Steelers,-4.860062415482783,19,-0.1074730530286007,-4.752589362454183,14,24,1971.007,24,1971,7.000000000061846
San Diego Chargers,-1.0965543123126376,15,0.1764673230678753,-1.273021635380513,13,16,1971.007,24,1971,7.000000000061846
San Francisco 49ers,9.073746508381422,1,4.484468285364034,4.589278223017388,3,4,1971.007,24,1971,7.000000000061846
St. Louis Cardinals,-1.3254558672605932,16,-2.002656246576572,0.677200379315979,20,12,1971.007,24,1971,7.000000000061846
Washington Commanders,3.381303437023431,11,1.9544098228892752,1.426893614134156,10,10,1971.007,24,1971,7.000000000061846
Atlanta Falcons,2.81764823130196,10,2.244399837903936,0.5732483933980241,9,13,1971.008,25,1971,8.000000000038199
Baltimore Colts,9.144429299323049,2,2.958107301304555,6.186321998018492,7,2,1971.008,25,1971,8.000000000038199
Buffalo Bills,-13.783265141411462,26,-4.420988403500123,-9.36227673791134,24,26,1971.008,25,1971,8.000000000038199
Chicago Bears,6.041162911087255,8,1.658828247525311,4.382334663561943,10,6,1971.008,25,1971,8.000000000038199
Cincinnati Bengals,-0.8616413886711006,14,-1.7755337481341589,0.913892359463058,18,11,1971.008,25,1971,8.000000000038199
Cleveland Browns,-5.381962850817186,20,-3.2230577451032563,-2.15890510571393,20,18,1971.008,25,1971,8.000000000038199
Dallas Cowboys,6.469597436584661,7,4.445821530151843,2.0237759064328182,3,8,1971.008,25,1971,8.000000000038199
Denver Broncos,-3.3846654451365024,16,-3.5762865305609,0.1916210854243972,21,14,1971.008,25,1971,8.000000000038199
Detroit Lions,7.467597972450994,6,5.657105598835738,1.810492373615256,1,10,1971.008,25,1971,8.000000000038199
Green Bay Packers,1.439084236927315,13,2.470546569660643,-1.0314623327333283,8,16,1971.008,25,1971,8.000000000038199
Houston Oilers,-12.079152929706549,25,-6.370035215975653,-5.709117713730894,26,24,1971.008,25,1971,8.000000000038199
Kansas City Chiefs,2.8159654392647164,11,-0.1950342982017634,3.01099973746648,14,7,1971.008,25,1971,8.000000000038199
Los Angeles Rams,9.097072395586144,3,4.323249248406009,4.773823147180135,4,5,1971.008,25,1971,8.000000000038199
Miami Dolphins,8.962145067595314,4,3.641830505181617,5.320314562413697,6,3,1971.008,25,1971,8.000000000038199
Minnesota Vikings,8.654686553163366,5,-1.2438296105082571,9.898516163671625,17,1,1971.008,25,1971,8.000000000038199
New England Patriots,-10.644669260772655,24,-4.014572221929123,-6.630097038843534,23,25,1971.008,25,1971,8.000000000038199
New Orleans Saints,-5.607969575311837,21,-1.193289401375403,-4.414680173936434,16,21,1971.008,25,1971,8.000000000038199
New York Giants,-3.976120171211394,19,0.6985725889373122,-4.674692760148707,11,23,1971.008,25,1971,8.000000000038199
New York Jets,-5.972593498300276,22,-3.966628670363724,-2.0059648279365514,22,17,1971.008,25,1971,8.000000000038199
Oakland Raiders,3.46084443292303,9,4.047981925961586,-0.5871374930385558,5,15,1971.008,25,1971,8.000000000038199
Philadelphia Eagles,-7.773011920336981,23,-5.484098542906409,-2.288913377430572,25,19,1971.008,25,1971,8.000000000038199
Pittsburgh Steelers,-3.936165653519181,17,0.5762406648346929,-4.512406318353874,12,22,1971.008,25,1971,8.000000000038199
San Diego Chargers,-3.950329330767812,18,-0.4794851618969635,-3.4708441688708485,15,20,1971.008,25,1971,8.000000000038199
